Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
87,Brian Cook,PF,27,ORL,45,0,559,5.4,13.7,.394,2.6,6.8,.390,2.8,7.0,.398,1.0,1.1,.882,1.5,4.8,6.4,1.5,0.7,0.8,2.3,5.6,14.4
88,Daequan Cook,SG,20,MIA,59,19,1441,4.9,12.8,.381,2.0,5.9,.332,2.9,6.9,.424,1.2,1.4,.825,0.5,3.9,4.4,1.9,0.6,0.2,1.6,3.9,12.9
89,Jamal Crawford,SG,27,NYK,80,80,3190,6.4,15.7,.410,2.0,5.6,.356,4.4,10.1,.439,3.7,4.3,.864,0.4,1.9,2.3,4.5,0.9,0.2,2.2,1.6,18.6
90,Javaris Crittenton,SG,20,TOT,50,0,679,5.2,12.4,.421,0.5,2.0,.270,4.7,10.4,.449,3.8,5.5,.692,1.4,4.4,5.8,2.7,1.0,0.1,2.9,2.5,14.7
90,Javaris Crittenton,SG,20,LAL,22,0,171,5.5,11.2,.491,0.2,0.6,.333,5.3,10.5,.500,4.0,5.9,.679,1.5,2.9,4.4,3.8,1.5,0.0,4.6,2.5,15.2
90,Javaris Crittenton,SG,20,MEM,28,0,508,5.1,12.8,.400,0.6,2.4,.265,4.5,10.3,.432,3.8,5.4,.697,1.4,4.9,6.3,2.3,0.9,0.1,2.3,2.5,14.6
91,Austin Croshere,PF,32,GSW,44,0,457,4.8,10.8,.445,1.7,4.8,.361,3.1,6.0,.513,2.3,2.5,.906,2.6,5.6,8.2,2.4,0.6,0.5,1.7,4.7,13.6
92,Eddy Curry,C,25,NYK,59,58,1530,7.0,12.8,.546,0.0,0.0,,7.0,12.8,.546,4.4,7.1,.623,2.6,3.9,6.5,0.8,0.3,0.7,3.0,3.7,18.4
93,Samuel Dalembert,C,26,PHI,82,82,2724,4.5,8.7,.513,0.0,0.0,.000,4.5,8.7,.514,2.5,3.5,.707,4.0,7.2,11.2,0.6,0.5,2.5,2.0,3.6,11.4
94,Erick Dampier,C,32,DAL,72,64,1755,3.7,5.7,.643,0.0,0.0,,3.7,5.7,.643,1.7,3.0,.575,4.2,6.8,11.1,1.3,0.5,2.2,1.6,4.6,9.0
95,Antonio Daniels,PG,32,WAS,71,63,2161,3.4,7.4,.459,0.3,1.2,.230,3.1,6.2,.504,2.8,3.6,.776,0.4,3.0,3.4,5.7,1.1,0.0,1.5,1.3,9.9
96,Marquis Daniels,SG,27,IND,74,1,1546,5.6,13.1,.430,0.6,2.4,.265,5.0,10.7,.466,2.3,3.2,.698,1.5,3.4,4.9,3.2,1.8,0.4,2.6,2.8,14.1
97,Jermareo Davidson,SF,23,CHA,38,2,322,5.7,14.0,.408,0.0,0.0,,5.7,14.0,.408,2.0,3.1,.643,2.3,4.6,6.9,1.5,0.8,1.7,1.9,5.1,13.4
98,Baron Davis,PG,28,GSW,82,82,3196,7.3,17.2,.426,1.9,5.9,.330,5.4,11.3,.477,3.6,4.8,.750,1.1,3.3,4.3,7.0,2.2,0.5,2.6,2.8,20.2
99,Glen Davis,C,22,BOS,69,1,940,4.1,8.5,.484,0.0,0.0,,4.1,8.5,.484,3.8,5.7,.660,3.6,4.3,8.0,1.1,1.2,0.8,2.5,6.1,12.0
100,Paul Davis,PF,23,LAC,22,1,194,4.5,12.1,.369,0.0,0.0,,4.5,12.1,.369,1.1,1.9,.600,4.6,4.1,8.7,1.9,1.1,1.1,1.7,6.1,10.0
