Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
123,Spencer Dinwiddie,SG-PG,29,TOT,79,2725,36%,54%,9%,1%,,0.4,-0.9,85,26,84,19,161,21,1287,38,62
123,Spencer Dinwiddie,SG,29,DAL,53,1808,5%,81%,13%,1%,,-1.6,-3.4,52,14,56,14,101,13,703,21,45
123,Spencer Dinwiddie,PG,29,BRK,26,917,98%,2%,,,,4.3,4.0,33,12,28,5,60,8,584,17,17
124,Donte DiVincenzo,SG,26,GSW,72,1894,10%,79%,10%,,,3.2,2.6,71,17,52,11,27,34,612,7,16
125,Luka Dončić,PG,23,DAL,66,2391,96%,4%,,,,2.2,4.9,141,64,73,12,308,10,1316,74,44
126,Tyler Dorsey,SF,26,DAL,3,8,,,,100%,,7.1,6.9,0,0,0,0,0,0,0,0,0
127,Luguentz Dort,SF,23,OKC,74,2272,,17%,61%,21%,1%,1.0,-0.4,31,30,111,14,120,93,365,23,53
128,Ayo Dosunmu,SG,23,CHI,80,2098,2%,60%,36%,2%,,-1.2,-6.0,43,28,85,8,43,9,481,10,49
129,Devon Dotson,PG,23,WAS,6,53,95%,5%,,,,-1.8,-0.6,3,0,3,0,0,0,20,0,2
130,Jeff Dowtin,PG,25,TOR,25,259,56%,44%,,,,2.0,0.9,3,0,9,0,4,3,70,2,3
131,PJ Dozier,SF,26,SAC,16,79,7%,34%,54%,6%,,-14.0,-16.6,5,0,4,0,0,4,23,0,1
132,Goran Dragić,PG,36,TOT,58,870,94%,5%,1%,,,0.0,-1.8,37,10,25,3,23,7,344,5,15
132,Goran Dragić,PG,36,CHI,51,787,100%,,,,,1.6,0.0,32,8,24,3,21,6,314,5,13
132,Goran Dragić,PG,36,MIL,7,83,40%,51%,9%,,,-15.0,-19.0,5,2,1,0,2,1,30,0,2
133,Andre Drummond,C,29,CHI,67,849,,,,,100%,3.2,2.1,21,17,58,23,65,4,75,14,27
134,Chris Duarte,SF,25,IND,46,897,1%,5%,72%,23%,,-5.6,-2.8,18,10,38,5,32,8,151,7,18
135,David Duke Jr.,SG,23,BRK,23,228,,23%,64%,13%,,-7.0,-8.8,10,2,11,4,10,3,55,3,10
136,Kris Dunn,PG,28,UTA,22,568,97%,3%,,,,-5.1,-4.7,21,7,33,3,30,1,300,9,16
